gen,arch,wr,mutation
2,鋼_メルルギア_究極_V6_アルティメット,0.3317,Out: ヌイコグマ / In: カビゴンex (Parent: 26/50 -> Mutant: 36/50)
2,水_スターミー_安定_V1,0.5192,Out: スターミーex / In: ナマコブシ (Parent: 35/50 -> Mutant: 38/50)
2,龍悪_ギラダク_グッズ偏重_V3,0.6192,unchanged
2,闘_ガブルカ_究極_V6_アルティメット,0.1702,unchanged
2,炎_リザードンX_グッズ偏重_V3,0.2452,unchanged
3,龍悪_ギラダク_グッズ偏重_V3,0.6731,Out: ダークライex / In: ゴロンダ (Parent: 36/50 -> Mutant: 39/50)
3,龍悪_ギラダク_安定_V1,0.6314,unchanged
3,闘_ガブルカ_究極_V6_アルティメット,0.2385,unchanged
3,雷_ピカチュウ_安定_V1,0.5583,unchanged
3,炎_リザードンX_究極_V6_アルティメット,0.6590,Out: グズマ / In: ウインディ (Parent: 33/50 -> Mutant: 40/50)
3,超_ミュウツー_グッズ偏重_V3,0.7160,Out: カスミ / In: ココロモリ (Parent: 42/50 -> Mutant: 44/50)
3,水_スターミー_究極_V6_アルティメット,0.4564,Out: アリゲイツ / In: ラプラス (Parent: 29/50 -> Mutant: 33/50)
3,鋼_メルルギア_グッズ偏重_V3,0.5776,Out: きずぐすり / In: カスミ (Parent: 36/50 -> Mutant: 39/50)
3,超_ミュウツー_安定_V1,0.4353,unchanged
3,龍悪_ギラダク_究極_V6_アルティメット,0.6276,unchanged
3,超_ミュウツー_究極_V6_アルティメット,0.6897,unchanged
3,草_フシギバナ_グッズ偏重_V3,0.6276,Out: おさかなネット / In: リーフィア (Parent: 32/50 -> Mutant: 39/50)
3,雷_ピカチュウ_グッズ偏重_V3,0.5417,unchanged
3,草_フシギバナ_究極_V6_アルティメット,0.5731,Out: エリカ / In: オーロット (Parent: 35/50 -> Mutant: 41/50)
3,水_スターミー_グッズ偏重_V3,0.4397,Out: フィオネ / In: グレイシアex (Parent: 25/50 -> Mutant: 31/50)
3,雷_ピカチュウ_究極_V6_アルティメット,0.6071,unchanged
3,鋼_メルルギア_安定_V1,0.4160,unchanged
3,闘_ガブルカ_グッズ偏重_V3,0.3128,Out: オボンのみ / In: オボンのみ (Parent: 13/50 -> Mutant: 17/50)
3,闘_ガブルカ_安定_V1,0.3962,unchanged
3,草_フシギバナ_安定_V1,0.5115,Out: アセロラ / In: モンジャラ (Parent: 27/50 -> Mutant: 31/50)
3,鋼_メルルギア_究極_V6_アルティメット,0.3603,unchanged
3,炎_リザードンX_グッズ偏重_V3,0.2442,unchanged
3,超_ゲンガー_グッズ偏重_V3,0.1128,unchanged
3,超_ゲンガー_究極_V6_アルティメット,0.5686,unchanged
3,水_スターミー_安定_V1,0.5096,unchanged
3,炎_リザードンX_安定_V1,0.4878,unchanged
3,超_ゲンガー_安定_V1,0.5282,unchanged
4,闘_ガブルカ_安定_V1,0.4433,unchanged
4,龍悪_ギラダク_安定_V1,0.6428,Out: おさかなネット / In: ハルカ (Parent: 29/50 -> Mutant: 31/50)
4,闘_ガブルカ_グッズ偏重_V3,0.3293,unchanged
4,鋼_メルルギア_究極_V6_アルティメット,0.4279,unchanged
4,超_ミュウツー_究極_V6_アルティメット,0.7072,Out: リーフマント / In: ユンゲラー (Parent: 37/50 -> Mutant: 41/50)
4,雷_ピカチュウ_究極_V6_アルティメット,0.6091,Out: サンダーex / In: エレキジェネレーター (Parent: 26/50 -> Mutant: 32/50)
4,鋼_メルルギア_グッズ偏重_V3,0.6053,Out: ココドラ / In: ハーデリア (Parent: 33/50 -> Mutant: 47/50)
4,水_スターミー_安定_V1,0.5519,unchanged
4,雷_ピカチュウ_安定_V1,0.5678,unchanged
4,水_スターミー_究極_V6_アルティメット,0.4543,unchanged
4,草_フシギバナ_究極_V6_アルティメット,0.5793,unchanged
4,龍悪_ギラダク_究極_V6_アルティメット,0.6226,unchanged
4,超_ミュウツー_グッズ偏重_V3,0.7240,unchanged
4,超_ゲンガー_究極_V6_アルティメット,0.5764,unchanged
4,草_フシギバナ_安定_V1,0.5043,Out: タマンチュラ / In: パラセクト (Parent: 28/50 -> Mutant: 32/50)
4,鋼_メルルギア_安定_V1,0.4154,unchanged
4,超_ミュウツー_安定_V1,0.4058,Out: ゴース / In: シトロンのリュック (Parent: 13/50 -> Mutant: 22/50)
4,超_ゲンガー_グッズ偏重_V3,0.1077,unchanged
4,炎_リザードンX_究極_V6_アルティメット,0.6404,Out: ふしぎな広場 / In: コータス (Parent: 28/50 -> Mutant: 35/50)
4,炎_リザードンX_安定_V1,0.4764,Out: ガーディ / In: ヒードラン (Parent: 29/50 -> Mutant: 35/50)
4,草_フシギバナ_グッズ偏重_V3,0.6197,unchanged
4,雷_ピカチュウ_グッズ偏重_V3,0.5038,Out: アローラライチュウex / In: ピカチュウ (Parent: 32/50 -> Mutant: 34/50)
4,龍悪_ギラダク_グッズ偏重_V3,0.6087,unchanged
4,炎_リザードンX_グッズ偏重_V3,0.2442,Out: ヒノアラシ / In: きずぐすり (Parent: 23/50 -> Mutant: 29/50)
4,超_ゲンガー_安定_V1,0.4933,unchanged
4,水_スターミー_グッズ偏重_V3,0.4183,Out: スターミーex / In: ニョロボン (Parent: 26/50 -> Mutant: 39/50)
4,闘_ガブルカ_究極_V6_アルティメット,0.2207,unchanged
5,闘_ガブルカ_安定_V1,0.4615,unchanged
5,炎_リザードンX_グッズ偏重_V3,0.2862,Out: ダークペンダント / In: カイ (Parent: 26/50 -> Mutant: 28/50)
5,超_ミュウツー_グッズ偏重_V3,0.7546,Out: シルバー / In: ポケモン図鑑 (Parent: 37/50 -> Mutant: 42/50)
5,草_フシギバナ_安定_V1,0.5246,unchanged
5,龍悪_ギラダク_究極_V6_アルティメット,0.6431,Out: いじわるレター / In: ジャラランガ (Parent: 38/50 -> Mutant: 45/50)
5,鋼_メルルギア_グッズ偏重_V3,0.6492,Out: メガハッサムex / In: オボンのみ (Parent: 42/50 -> Mutant: 44/50)
5,草_フシギバナ_究極_V6_アルティメット,0.5973,unchanged
5,龍悪_ギラダク_グッズ偏重_V3,0.6169,unchanged
5,水_スターミー_究極_V6_アルティメット,0.4596,Out: トリトドン / In: メリッサ (Parent: 23/50 -> Mutant: 29/50)
5,水_スターミー_グッズ偏重_V3,0.4392,unchanged
5,闘_ガブルカ_究極_V6_アルティメット,0.2354,unchanged
5,龍悪_ギラダク_安定_V1,0.6246,unchanged
5,炎_リザードンX_安定_V1,0.4796,unchanged
5,水_スターミー_安定_V1,0.5631,unchanged
5,雷_ピカチュウ_グッズ偏重_V3,0.4923,unchanged
5,超_ミュウツー_究極_V6_アルティメット,0.6827,unchanged
5,雷_ピカチュウ_安定_V1,0.5573,unchanged
5,超_ゲンガー_グッズ偏重_V3,0.1081,unchanged
5,超_ゲンガー_究極_V6_アルティメット,0.5727,unchanged
5,雷_ピカチュウ_究極_V6_アルティメット,0.5604,unchanged
5,炎_リザードンX_究極_V6_アルティメット,0.6204,unchanged
5,鋼_メルルギア_究極_V6_アルティメット,0.4308,Out: ルギアex / In: フレイムパッチ (Parent: 34/50 -> Mutant: 36/50)
5,超_ゲンガー_安定_V1,0.4700,unchanged
5,闘_ガブルカ_グッズ偏重_V3,0.3058,Out: ルカリオex / In: カブトプス (Parent: 20/50 -> Mutant: 24/50)
5,鋼_メルルギア_安定_V1,0.3892,unchanged
5,超_ミュウツー_安定_V1,0.3669,unchanged
5,草_フシギバナ_グッズ偏重_V3,0.6085,unchanged
6,超_ゲンガー_究極_V6_アルティメット,0.5901,unchanged
6,雷_ピカチュウ_究極_V6_アルティメット,0.5667,unchanged
6,超_ミュウツー_安定_V1,0.3962,unchanged
6,草_フシギバナ_グッズ偏重_V3,0.6231,unchanged
6,超_ミュウツー_グッズ偏重_V3,0.7756,unchanged
6,炎_リザードンX_究極_V6_アルティメット,0.6397,unchanged
6,鋼_メルルギア_グッズ偏重_V3,0.6644,Out: マツバ / In: カツラ (Parent: 40/50 -> Mutant: 46/50)
6,鋼_メルルギア_安定_V1,0.4058,unchanged
6,雷_ピカチュウ_グッズ偏重_V3,0.4955,unchanged
6,龍悪_ギラダク_安定_V1,0.6170,unchanged
6,超_ミュウツー_究極_V6_アルティメット,0.6795,unchanged
6,炎_リザードンX_グッズ偏重_V3,0.2962,unchanged
6,闘_ガブルカ_安定_V1,0.4545,unchanged
6,龍悪_ギラダク_究極_V6_アルティメット,0.6401,Out: ふしぎなアメ / In: リーフ (Parent: 38/50 -> Mutant: 41/50)
6,闘_ガブルカ_究極_V6_アルティメット,0.2433,Out: ガメノデス / In: ルカリオex (Parent: 9/50 -> Mutant: 19/50)
6,草_フシギバナ_安定_V1,0.5244,unchanged
6,水_スターミー_究極_V6_アルティメット,0.4429,unchanged
6,龍悪_ギラダク_グッズ偏重_V3,0.6022,unchanged
6,鋼_メルルギア_究極_V6_アルティメット,0.4244,unchanged
6,水_スターミー_グッズ偏重_V3,0.4253,unchanged
6,炎_リザードンX_安定_V1,0.4766,unchanged
6,水_スターミー_安定_V1,0.5577,unchanged
6,超_ゲンガー_グッズ偏重_V3,0.1032,Out: まもりのポンチョ / In: ロトム (Parent: 6/50 -> Mutant: 11/50)
6,雷_ピカチュウ_安定_V1,0.5340,unchanged
6,闘_ガブルカ_グッズ偏重_V3,0.2840,unchanged
6,超_ゲンガー_安定_V1,0.4545,unchanged
6,草_フシギバナ_究極_V6_アルティメット,0.5833,Out: キャタピー / In: エリカ (Parent: 36/50 -> Mutant: 40/50)
7,水_スターミー_グッズ偏重_V3,0.4615,unchanged
7,龍悪_ギラダク_グッズ偏重_V3,0.6085,unchanged
7,超_ゲンガー_究極_V6_アルティメット,0.6030,unchanged
7,雷_ピカチュウ_グッズ偏重_V3,0.5085,unchanged
7,鋼_メルルギア_安定_V1,0.4239,Out: メルメタルex / In: デンジ (Parent: 27/50 -> Mutant: 36/50)
7,炎_リザードンX_究極_V6_アルティメット,0.6437,unchanged
7,鋼_メルルギア_究極_V6_アルティメット,0.4368,unchanged
7,水_スターミー_安定_V1,0.5728,unchanged
7,炎_リザードンX_グッズ偏重_V3,0.3126,unchanged
7,超_ゲンガー_グッズ偏重_V3,0.1074,Out: ゲンガーex / In: ガラルサニゴーン (Parent: 11/50 -> Mutant: 13/50)
7,闘_ガブルカ_安定_V1,0.4558,Out: 釣り人 / In: アサナン (Parent: 27/50 -> Mutant: 30/50)
7,鋼_メルルギア_グッズ偏重_V3,0.6632,unchanged
7,闘_ガブルカ_グッズ偏重_V3,0.2854,unchanged
7,水_スターミー_究極_V6_アルティメット,0.4313,unchanged
7,超_ゲンガー_安定_V1,0.4599,unchanged
7,雷_ピカチュウ_安定_V1,0.5349,unchanged
7,草_フシギバナ_究極_V6_アルティメット,0.5934,unchanged
7,草_フシギバナ_グッズ偏重_V3,0.6231,unchanged
7,超_ミュウツー_グッズ偏重_V3,0.7670,unchanged
7,龍悪_ギラダク_安定_V1,0.6025,unchanged
7,草_フシギバナ_安定_V1,0.5143,Out: ミノムッチ / In: アローラナッシー (Parent: 27/50 -> Mutant: 30/50)
7,超_ミュウツー_安定_V1,0.3794,unchanged
7,雷_ピカチュウ_究極_V6_アルティメット,0.5360,Out: レッドカード / In: ルクシオ (Parent: 28/50 -> Mutant: 31/50)
7,超_ミュウツー_究極_V6_アルティメット,0.6591,Out: たべのこし / In: キョウ (Parent: 37/50 -> Mutant: 41/50)
7,炎_リザードンX_安定_V1,0.4676,Out: ヒトカゲ / In: ビーストウォール (Parent: 29/50 -> Mutant: 39/50)
7,龍悪_ギラダク_究極_V6_アルティメット,0.6214,unchanged
7,闘_ガブルカ_究極_V6_アルティメット,0.2269,unchanged
8,炎_リザードンX_安定_V1,0.4952,unchanged
8,闘_ガブルカ_グッズ偏重_V3,0.2998,Out: ポケモン図鑑 / In: ルガルガン (Parent: 16/50 -> Mutant: 23/50)
8,草_フシギバナ_安定_V1,0.5288,unchanged
8,草_フシギバナ_究極_V6_アルティメット,0.6120,unchanged
8,龍悪_ギラダク_究極_V6_アルティメット,0.6373,unchanged
8,超_ゲンガー_グッズ偏重_V3,0.1154,unchanged
8,炎_リザードンX_究極_V6_アルティメット,0.6430,Out: どくバリ / In: キョウ (Parent: 35/50 -> Mutant: 40/50)
8,超_ミュウツー_安定_V1,0.3925,Out: こうらの化石 / In: フレフワン (Parent: 24/50 -> Mutant: 29/50)
8,雷_ピカチュウ_安定_V1,0.5442,unchanged
8,鋼_メルルギア_究極_V6_アルティメット,0.4493,unchanged
8,雷_ピカチュウ_究極_V6_アルティメット,0.5276,unchanged
8,超_ミュウツー_究極_V6_アルティメット,0.6613,unchanged
8,龍悪_ギラダク_グッズ偏重_V3,0.6048,unchanged
8,超_ゲンガー_究極_V6_アルティメット,0.5986,Out: ラティアス / In: ゴビット (Parent: 24/50 -> Mutant: 33/50)
8,鋼_メルルギア_安定_V1,0.4274,Out: レスキュースカーフ / In: ハンドスコープ (Parent: 26/50 -> Mutant: 28/50)
8,雷_ピカチュウ_グッズ偏重_V3,0.4971,unchanged
8,水_スターミー_究極_V6_アルティメット,0.4274,unchanged
8,水_スターミー_グッズ偏重_V3,0.4550,Out: かいの化石 / In: バイバニラ (Parent: 32/50 -> Mutant: 36/50)
8,闘_ガブルカ_安定_V1,0.4399,unchanged
8,龍悪_ギラダク_安定_V1,0.5861,unchanged
8,炎_リザードンX_グッズ偏重_V3,0.3101,Out: ガオガエンex / In: はじまりの平原 (Parent: 25/50 -> Mutant: 28/50)
8,鋼_メルルギア_グッズ偏重_V3,0.6454,unchanged
8,草_フシギバナ_グッズ偏重_V3,0.6207,unchanged
8,闘_ガブルカ_究極_V6_アルティメット,0.2197,Out: ラムのみ / In: ウリムー (Parent: 18/50 -> Mutant: 20/50)
8,超_ゲンガー_安定_V1,0.4488,unchanged
8,超_ミュウツー_グッズ偏重_V3,0.7517,Out: ペパー / In: ヨノワール (Parent: 42/50 -> Mutant: 45/50)
8,水_スターミー_安定_V1,0.5608,unchanged
9,超_ミュウツー_安定_V1,0.4088,Out: ラルトス / In: ハンドスコープ (Parent: 25/50 -> Mutant: 30/50)
9,闘_ガブルカ_究極_V6_アルティメット,0.2385,unchanged
9,闘_ガブルカ_安定_V1,0.4466,unchanged
9,龍悪_ギラダク_グッズ偏重_V3,0.6143,unchanged
9,炎_リザードンX_安定_V1,0.5060,unchanged
9,超_ミュウツー_グッズ偏重_V3,0.7613,unchanged
9,超_ゲンガー_究極_V6_アルティメット,0.6026,Out: たべのこし / In: ロケット団のしたっぱ (Parent: 26/50 -> Mutant: 31/50)
9,炎_リザードンX_究極_V6_アルティメット,0.6415,unchanged
9,水_スターミー_グッズ偏重_V3,0.4622,Out: メモリーライト / In: ゲコガシラ (Parent: 24/50 -> Mutant: 33/50)
9,水_スターミー_究極_V6_アルティメット,0.4291,Out: ハラ / In: ケイコウオ (Parent: 29/50 -> Mutant: 31/50)
9,雷_ピカチュウ_究極_V6_アルティメット,0.5244,Out: ヘビーメット / In: イーブイのバッグ (Parent: 27/50 -> Mutant: 30/50)
9,草_フシギバナ_安定_V1,0.5284,Out: たべのこし / In: スコヴィラン (Parent: 23/50 -> Mutant: 36/50)
9,草_フシギバナ_究極_V6_アルティメット,0.6274,unchanged
9,超_ゲンガー_グッズ偏重_V3,0.1137,unchanged
9,鋼_メルルギア_安定_V1,0.4256,unchanged
9,雷_ピカチュウ_グッズ偏重_V3,0.4855,unchanged
9,雷_ピカチュウ_安定_V1,0.5421,Out: イーブイのバッグ / In: マッギョ (Parent: 42/50 -> Mutant: 45/50)
9,炎_リザードンX_グッズ偏重_V3,0.3124,unchanged
9,鋼_メルルギア_グッズ偏重_V3,0.6391,unchanged
9,草_フシギバナ_グッズ偏重_V3,0.6207,unchanged
9,水_スターミー_安定_V1,0.5566,unchanged
9,闘_ガブルカ_グッズ偏重_V3,0.2925,Out: コジョンド / In: ナゲツケサルex (Parent: 16/50 -> Mutant: 27/50)
9,鋼_メルルギア_究極_V6_アルティメット,0.4382,Out: ポケモンセンターのお姉さん / In: ムクホーク (Parent: 24/50 -> Mutant: 29/50)
9,超_ゲンガー_安定_V1,0.4442,unchanged
9,龍悪_ギラダク_究極_V6_アルティメット,0.6216,unchanged
9,超_ミュウツー_究極_V6_アルティメット,0.6468,unchanged
9,龍悪_ギラダク_安定_V1,0.5701,unchanged
10,水_スターミー_究極_V6_アルティメット,0.4394,unchanged
10,鋼_メルルギア_安定_V1,0.4360,unchanged
10,炎_リザードンX_グッズ偏重_V3,0.3244,unchanged
10,超_ゲンガー_究極_V6_アルティメット,0.6073,Out: タケシ / In: シルバー (Parent: 29/50 -> Mutant: 39/50)
10,雷_ピカチュウ_安定_V1,0.5544,unchanged
10,闘_ガブルカ_究極_V6_アルティメット,0.2513,Out: ガブリアスex / In: スナバァ (Parent: 12/50 -> Mutant: 26/50)
10,闘_ガブルカ_グッズ偏重_V3,0.3079,Out: イシツブテ / In: レッド (Parent: 22/50 -> Mutant: 27/50)
10,草_フシギバナ_安定_V1,0.5337,Out: ドレディア / In: ジャノビー (Parent: 28/50 -> Mutant: 32/50)
10,雷_ピカチュウ_究極_V6_アルティメット,0.5206,unchanged
10,超_ミュウツー_究極_V6_アルティメット,0.6519,unchanged
10,炎_リザードンX_究極_V6_アルティメット,0.6415,Out: ヘビーメット / In: かいの化石 (Parent: 29/50 -> Mutant: 41/50)
10,水_スターミー_安定_V1,0.5681,Out: パルキアex / In: シャワーズ (Parent: 39/50 -> Mutant: 41/50)
10,超_ミュウツー_安定_V1,0.4121,unchanged
10,鋼_メルルギア_グッズ偏重_V3,0.6367,unchanged
10,龍悪_ギラダク_究極_V6_アルティメット,0.6177,unchanged
10,雷_ピカチュウ_グッズ偏重_V3,0.4808,unchanged
10,草_フシギバナ_究極_V6_アルティメット,0.6287,unchanged
10,炎_リザードンX_安定_V1,0.5050,unchanged
10,鋼_メルルギア_究極_V6_アルティメット,0.4354,Out: イーブイ / In: シュバルゴ (Parent: 31/50 -> Mutant: 39/50)
10,水_スターミー_グッズ偏重_V3,0.4548,unchanged
10,龍悪_ギラダク_グッズ偏重_V3,0.5962,unchanged
10,超_ゲンガー_安定_V1,0.4400,unchanged
10,超_ゲンガー_グッズ偏重_V3,0.1113,unchanged
10,草_フシギバナ_グッズ偏重_V3,0.6185,unchanged
10,超_ミュウツー_グッズ偏重_V3,0.7527,Out: シロナ / In: アゴの化石 (Parent: 42/50 -> Mutant: 46/50)
10,闘_ガブルカ_安定_V1,0.4265,Out: トロッゴン / In: まもりのポンチョ (Parent: 24/50 -> Mutant: 31/50)
10,龍悪_ギラダク_安定_V1,0.5471,unchanged
11,鋼_メルルギア_安定_V1,0.4449,Out: コトネ / In: はねの化石 (Parent: 30/50 -> Mutant: 35/50)
11,雷_ピカチュウ_究極_V6_アルティメット,0.5278,unchanged
11,闘_ガブルカ_究極_V6_アルティメット,0.2624,unchanged
11,水_スターミー_安定_V1,0.5769,Out: アローラサンドパン / In: ホエルオー (Parent: 31/50 -> Mutant: 33/50)
11,鋼_メルルギア_グッズ偏重_V3,0.6472,unchanged
11,雷_ピカチュウ_安定_V1,0.5608,unchanged
11,超_ゲンガー_究極_V6_アルティメット,0.6091,Out: かんこうきゃく / In: ポットデス (Parent: 31/50 -> Mutant: 43/50)
11,草_フシギバナ_究極_V6_アルティメット,0.6383,unchanged
11,超_ゲンガー_安定_V1,0.4474,unchanged
11,超_ミュウツー_グッズ偏重_V3,0.7582,unchanged
11,炎_リザードンX_グッズ偏重_V3,0.3295,unchanged
11,龍悪_ギラダク_究極_V6_アルティメット,0.6182,unchanged
11,超_ミュウツー_究極_V6_アルティメット,0.6479,unchanged
11,鋼_メルルギア_究極_V6_アルティメット,0.4531,Out: ナツメ / In: チラチーノ (Parent: 37/50 -> Mutant: 40/50)
11,炎_リザードンX_究極_V6_アルティメット,0.6376,unchanged
11,雷_ピカチュウ_グッズ偏重_V3,0.4755,Out: ずがいの化石 / In: セキ (Parent: 30/50 -> Mutant: 33/50)
11,炎_リザードンX_安定_V1,0.5059,unchanged
11,草_フシギバナ_安定_V1,0.5285,unchanged
11,水_スターミー_究極_V6_アルティメット,0.4311,unchanged
11,龍悪_ギラダク_グッズ偏重_V3,0.5841,unchanged
11,超_ミュウツー_安定_V1,0.3981,Out: カルネ / In: ヨノワール (Parent: 29/50 -> Mutant: 31/50)
11,龍悪_ギラダク_安定_V1,0.5399,unchanged
11,超_ゲンガー_グッズ偏重_V3,0.1070,unchanged
11,水_スターミー_グッズ偏重_V3,0.4460,Out: ゲコガシラ / In: ニョロボン (Parent: 29/50 -> Mutant: 34/50)
11,闘_ガブルカ_グッズ偏重_V3,0.3037,unchanged
11,闘_ガブルカ_安定_V1,0.4082,unchanged
11,草_フシギバナ_グッズ偏重_V3,0.6126,unchanged
12,雷_ピカチュウ_安定_V1,0.5721,Out: リーリエ / In: こうらの化石 (Parent: 29/50 -> Mutant: 33/50)
12,超_ミュウツー_グッズ偏重_V3,0.7678,unchanged
12,鋼_メルルギア_グッズ偏重_V3,0.6585,unchanged
12,龍悪_ギラダク_安定_V1,0.5473,Out: ナツメ / In: きずぐすり (Parent: 28/50 -> Mutant: 33/50)
12,闘_ガブルカ_グッズ偏重_V3,0.3173,unchanged
12,超_ミュウツー_安定_V1,0.4077,unchanged
12,龍悪_ギラダク_グッズ偏重_V3,0.5857,unchanged
12,草_フシギバナ_グッズ偏重_V3,0.6186,unchanged
12,超_ゲンガー_グッズ偏重_V3,0.1098,Out: ボタン / In: ゴビット (Parent: 3/50 -> Mutant: 7/50)
12,闘_ガブルカ_究極_V6_アルティメット,0.2667,unchanged
12,闘_ガブルカ_安定_V1,0.4064,unchanged
12,龍悪_ギラダク_究極_V6_アルティメット,0.6215,unchanged
12,水_スターミー_安定_V1,0.5755,unchanged
12,雷_ピカチュウ_グッズ偏重_V3,0.4745,unchanged
12,鋼_メルルギア_安定_V1,0.4397,unchanged
12,草_フシギバナ_究極_V6_アルティメット,0.6399,unchanged
12,超_ミュウツー_究極_V6_アルティメット,0.6447,unchanged
12,雷_ピカチュウ_究極_V6_アルティメット,0.5151,Out: エレキジェネレーター / In: ハラバリーex (Parent: 32/50 -> Mutant: 37/50)
12,炎_リザードンX_グッズ偏重_V3,0.3260,Out: リザードンex / In: ギャロップex (Parent: 22/50 -> Mutant: 28/50)
12,炎_リザードンX_安定_V1,0.5011,Out: リザードンex / In: ヒトモシ (Parent: 34/50 -> Mutant: 36/50)
12,水_スターミー_グッズ偏重_V3,0.4394,unchanged
12,草_フシギバナ_安定_V1,0.5215,unchanged
12,超_ゲンガー_究極_V6_アルティメット,0.6010,unchanged
12,水_スターミー_究極_V6_アルティメット,0.4194,unchanged
12,鋼_メルルギア_究極_V6_アルティメット,0.4529,unchanged
12,炎_リザードンX_究極_V6_アルティメット,0.6295,unchanged
12,超_ゲンガー_安定_V1,0.4405,unchanged
13,草_フシギバナ_安定_V1,0.5280,unchanged
13,超_ゲンガー_究極_V6_アルティメット,0.6081,Out: ナツメ / In: ポケモン通信 (Parent: 30/50 -> Mutant: 37/50)
13,水_スターミー_グッズ偏重_V3,0.4524,unchanged
13,鋼_メルルギア_究極_V6_アルティメット,0.4790,unchanged
13,超_ミュウツー_安定_V1,0.4145,Out: ココロモリ / In: グリーン (Parent: 24/50 -> Mutant: 27/50)
13,雷_ピカチュウ_安定_V1,0.5759,Out: メリープ / In: グラジオ (Parent: 36/50 -> Mutant: 41/50)
