gen,arch,wr,champ_change
15,ミュウツー超コントロール,0.7238,no
15,水テンポ,0.6143,yes
15,闘パワー,0.5905,no
15,草毒コントロール,0.7143,yes
15,悪スナイプ,0.7000,yes
15,炎高火力,0.3857,yes
15,鋼タフネス,0.5000,yes
16,雷スピード,0.5810,no
16,ミュウツー超コントロール,0.7286,yes
16,水テンポ,0.4952,no
16,闘パワー,0.5429,no
16,草毒コントロール,0.6429,yes
16,悪スナイプ,0.6571,yes
16,炎高火力,0.2762,no
16,鋼タフネス,0.4571,yes
17,雷スピード,0.5429,no
17,ミュウツー超コントロール,0.7429,no
17,水テンポ,0.6000,yes
17,闘パワー,0.6857,yes
17,草毒コントロール,0.7429,yes
17,悪スナイプ,0.6429,yes
17,炎高火力,0.5571,yes
17,鋼タフネス,0.4429,yes
18,雷スピード,0.5095,no
18,ミュウツー超コントロール,0.7143,no
18,水テンポ,0.5476,no
18,闘パワー,0.6143,yes
18,草毒コントロール,0.7857,yes
18,悪スナイプ,0.5429,yes
18,炎高火力,0.5429,yes
18,鋼タフネス,0.4429,yes
19,雷スピード,0.6000,yes
19,ミュウツー超コントロール,0.6571,no
19,水テンポ,0.5429,yes
19,闘パワー,0.5857,yes
19,草毒コントロール,0.7143,yes
19,悪スナイプ,0.5000,yes
19,炎高火力,0.5429,yes
19,鋼タフネス,0.3571,yes
20,雷スピード,0.6238,no
20,ミュウツー超コントロール,0.8000,yes
20,水テンポ,0.5333,no
20,闘パワー,0.6333,no
20,草毒コントロール,0.7857,yes
20,悪スナイプ,0.4857,yes
20,炎高火力,0.4143,yes
20,鋼タフネス,0.5714,yes
21,雷スピード,0.6095,no
21,ミュウツー超コントロール,0.6905,no
21,水テンポ,0.5714,yes
21,闘パワー,0.6857,yes
21,草毒コントロール,0.7286,yes
21,悪スナイプ,0.5714,yes
21,炎高火力,0.4714,yes
21,鋼タフネス,0.5857,yes
22,雷スピード,0.6714,yes
22,ミュウツー超コントロール,0.6571,no
22,水テンポ,0.6571,yes
22,闘パワー,0.6190,no
22,草毒コントロール,0.6857,yes
22,悪スナイプ,0.4571,yes
22,炎高火力,0.4286,yes
22,鋼タフネス,0.4571,yes
23,雷スピード,0.6810,no
23,ミュウツー超コントロール,0.6714,no
23,水テンポ,0.5238,no
23,闘パワー,0.6429,yes
23,草毒コントロール,0.8714,yes
23,悪スナイプ,0.5571,yes
23,炎高火力,0.4286,yes
23,鋼タフネス,0.5429,yes
24,雷スピード,0.7048,no
24,ミュウツー超コントロール,0.6333,no
24,水テンポ,0.6857,yes
24,闘パワー,0.6000,yes
24,草毒コントロール,0.7429,yes
24,悪スナイプ,0.6286,yes
24,炎高火力,0.4143,yes
24,鋼タフネス,0.5000,yes
25,雷スピード,0.6714,yes
25,ミュウツー超コントロール,0.6714,no
25,水テンポ,0.5714,no
25,闘パワー,0.6714,yes
25,草毒コントロール,0.7714,yes
25,悪スナイプ,0.6714,yes
25,炎高火力,0.4000,yes
25,鋼タフネス,0.4143,yes
26,雷スピード,0.6857,no
26,ミュウツー超コントロール,0.8286,yes
26,水テンポ,0.6429,yes
26,闘パワー,0.6000,yes
26,草毒コントロール,0.7286,yes
26,悪スナイプ,0.5143,yes
26,炎高火力,0.4143,yes
26,鋼タフネス,0.4857,yes
27,雷スピード,0.6476,no
27,ミュウツー超コントロール,0.7286,yes
27,水テンポ,0.5333,no
27,闘パワー,0.6571,yes
27,草毒コントロール,0.8000,yes
27,悪スナイプ,0.6143,yes
27,炎高火力,0.5286,yes
27,鋼タフネス,0.7143,yes
28,雷スピード,0.7048,no
28,ミュウツー超コントロール,0.7429,yes
28,水テンポ,0.5714,yes
28,闘パワー,0.4857,yes
28,草毒コントロール,0.8714,yes
28,悪スナイプ,0.5286,yes
28,炎高火力,0.3857,yes
28,鋼タフネス,0.5286,yes
29,雷スピード,0.6286,yes
29,ミュウツー超コントロール,0.7429,yes
29,水テンポ,0.6000,yes
29,闘パワー,0.4333,no
29,草毒コントロール,0.7429,yes
29,悪スナイプ,0.6857,yes
29,炎高火力,0.3429,yes
29,鋼タフネス,0.6286,yes
30,雷スピード,0.6000,no
30,ミュウツー超コントロール,0.7143,yes
30,水テンポ,0.5524,no
30,闘パワー,0.5857,yes
30,草毒コントロール,0.7286,yes
30,悪スナイプ,0.6857,yes
30,炎高火力,0.5143,yes
30,鋼タフネス,0.5571,yes
31,雷スピード,0.5905,no
31,ミュウツー超コントロール,0.7571,yes
31,水テンポ,0.6048,no
31,闘パワー,0.4857,yes
31,草毒コントロール,0.7429,yes
31,悪スナイプ,0.5571,yes
31,炎高火力,0.4714,yes
31,鋼タフネス,0.7143,yes
32,雷スピード,0.6857,yes
32,ミュウツー超コントロール,0.7286,yes
32,水テンポ,0.5571,no
32,闘パワー,0.5429,yes
32,草毒コントロール,0.8286,yes
32,悪スナイプ,0.5429,yes
32,炎高火力,0.4286,yes
32,鋼タフネス,0.7000,yes
33,雷スピード,0.6429,yes
33,ミュウツー超コントロール,0.6857,yes
33,水テンポ,0.5857,yes
33,闘パワー,0.5857,yes
33,草毒コントロール,0.7714,yes
33,悪スナイプ,0.4857,yes
33,炎高火力,0.4000,yes
33,鋼タフネス,0.6286,yes
34,雷スピード,0.6429,no
34,ミュウツー超コントロール,0.7381,no
34,水テンポ,0.5429,yes
34,闘パワー,0.5714,yes
34,草毒コントロール,0.7286,yes
34,悪スナイプ,0.3714,yes
34,炎高火力,0.5000,yes
34,鋼タフネス,0.6286,yes
35,雷スピード,0.6714,yes
35,ミュウツー超コントロール,0.7429,yes
35,水テンポ,0.5714,yes
35,闘パワー,0.4857,yes
35,草毒コントロール,0.8429,yes
35,悪スナイプ,0.6143,yes
35,炎高火力,0.5286,yes
35,鋼タフネス,0.6429,yes
36,雷スピード,0.6286,yes
36,ミュウツー超コントロール,0.7286,no
36,水テンポ,0.5571,yes
36,闘パワー,0.4571,no
36,草毒コントロール,0.7857,yes
36,悪スナイプ,0.5000,yes
36,炎高火力,0.5571,yes
36,鋼タフネス,0.7000,yes
37,雷スピード,0.6286,yes
37,ミュウツー超コントロール,0.6714,no
37,水テンポ,0.6429,yes
37,闘パワー,0.4762,no
37,草毒コントロール,0.8286,yes
37,悪スナイプ,0.3714,yes
37,炎高火力,0.5571,yes
37,鋼タフネス,0.6429,yes
38,雷スピード,0.6667,no
38,ミュウツー超コントロール,0.6857,yes
38,水テンポ,0.6000,yes
38,闘パワー,0.4095,no
38,草毒コントロール,0.7857,yes
38,悪スナイプ,0.2714,yes
38,炎高火力,0.6000,yes
38,鋼タフネス,0.6143,yes
39,雷スピード,0.7143,yes
39,ミュウツー超コントロール,0.7429,yes
39,水テンポ,0.6571,yes
39,闘パワー,0.5571,yes
39,草毒コントロール,0.7571,yes
39,悪スナイプ,0.3571,yes
39,炎高火力,0.5000,yes
39,鋼タフネス,0.5571,yes
40,雷スピード,0.7143,yes
40,ミュウツー超コントロール,0.8571,yes
40,水テンポ,0.5238,no
40,闘パワー,0.4905,no
40,草毒コントロール,0.6286,yes
40,悪スナイプ,0.2714,yes
40,炎高火力,0.5571,yes
40,鋼タフネス,0.7143,yes
41,雷スピード,0.6905,no
41,ミュウツー超コントロール,0.7714,no
41,水テンポ,0.5571,yes
41,闘パワー,0.5000,yes
41,草毒コントロール,0.6857,yes
41,悪スナイプ,0.2857,yes
41,炎高火力,0.6000,yes
41,鋼タフネス,0.5000,yes
42,雷スピード,0.7429,yes
42,ミュウツー超コントロール,0.8429,yes
42,水テンポ,0.5810,no
42,闘パワー,0.4571,no
42,草毒コントロール,0.7571,yes
42,悪スナイプ,0.3714,yes
42,炎高火力,0.5714,yes
42,鋼タフネス,0.5714,yes
43,雷スピード,0.6524,no
43,ミュウツー超コントロール,0.8143,yes
43,水テンポ,0.7286,yes
43,闘パワー,0.4714,yes
43,草毒コントロール,0.6000,yes
43,悪スナイプ,0.4000,yes
43,炎高火力,0.6714,yes
43,鋼タフネス,0.6429,yes
44,雷スピード,0.6667,no
44,ミュウツー超コントロール,0.8238,no
44,水テンポ,0.6714,yes
44,闘パワー,0.3571,no
44,草毒コントロール,0.5429,yes
44,悪スナイプ,0.3857,yes
44,炎高火力,0.5714,yes
44,鋼タフネス,0.5286,yes
45,雷スピード,0.6952,no
45,ミュウツー超コントロール,0.7524,no
45,水テンポ,0.6857,yes
45,闘パワー,0.4429,yes
45,草毒コントロール,0.6857,yes
45,悪スナイプ,0.2857,yes
45,炎高火力,0.7143,yes
45,鋼タフネス,0.4857,yes
46,雷スピード,0.6714,no
46,ミュウツー超コントロール,0.7143,yes
46,水テンポ,0.7143,yes
46,闘パワー,0.4143,yes
46,草毒コントロール,0.5429,yes
46,悪スナイプ,0.3571,yes
46,炎高火力,0.6429,yes
46,鋼タフネス,0.5143,yes
47,雷スピード,0.6857,yes
47,ミュウツー超コントロール,0.7143,yes
47,水テンポ,0.6571,yes
47,闘パワー,0.5571,yes
47,草毒コントロール,0.7000,yes
47,悪スナイプ,0.3286,yes
47,炎高火力,0.6714,yes
47,鋼タフネス,0.6286,yes
48,雷スピード,0.7143,yes
48,ミュウツー超コントロール,0.7048,no
48,水テンポ,0.5810,no
48,闘パワー,0.5143,yes
48,草毒コントロール,0.6429,yes
48,悪スナイプ,0.3143,yes
48,炎高火力,0.6714,yes
48,鋼タフネス,0.5286,yes
49,雷スピード,0.7143,yes
49,ミュウツー超コントロール,0.6952,no
49,水テンポ,0.6143,yes
49,闘パワー,0.4857,yes
49,草毒コントロール,0.5857,yes
49,悪スナイプ,0.3714,yes
49,炎高火力,0.7857,yes
49,鋼タフネス,0.5143,yes
50,雷スピード,0.7333,no
50,ミュウツー超コントロール,0.7524,no
50,水テンポ,0.7571,yes
50,闘パワー,0.3714,yes
50,草毒コントロール,0.5143,yes
50,悪スナイプ,0.2571,yes
50,炎高火力,0.7429,yes
50,鋼タフネス,0.5857,yes
51,雷スピード,0.6429,yes
51,ミュウツー超コントロール,0.8429,yes
51,水テンポ,0.5857,yes
51,闘パワー,0.7000,yes
51,草毒コントロール,0.5429,no
51,悪スナイプ,0.2143,no
51,炎高火力,0.7857,yes
51,鋼タフネス,0.6286,yes
52,雷スピード,0.7429,yes
52,ミュウツー超コントロール,0.7857,yes
52,水テンポ,0.6714,yes
52,闘パワー,0.4714,no
52,草毒コントロール,0.6000,yes
52,悪スナイプ,0.3143,yes
52,炎高火力,0.6429,yes
52,鋼タフネス,0.5857,yes
53,雷スピード,0.6905,no
53,ミュウツー超コントロール,0.7571,yes
53,水テンポ,0.5905,no
53,闘パワー,0.5286,yes
53,草毒コントロール,0.4714,yes
53,悪スナイプ,0.3714,yes
53,炎高火力,0.8000,yes
53,鋼タフネス,0.4857,yes
54,雷スピード,0.8143,yes
54,ミュウツー超コントロール,0.7286,no
54,水テンポ,0.6143,yes
54,闘パワー,0.6286,yes
54,草毒コントロール,0.5000,yes
54,悪スナイプ,0.3429,yes
54,炎高火力,0.7714,yes
54,鋼タフネス,0.5143,yes
55,雷スピード,0.7190,no
55,ミュウツー超コントロール,0.7286,yes
55,水テンポ,0.5238,no
55,闘パワー,0.6143,yes
55,草毒コントロール,0.4143,yes
55,悪スナイプ,0.2286,yes
55,炎高火力,0.7857,yes
55,鋼タフネス,0.5571,yes
56,雷スピード,0.7857,yes
56,ミュウツー超コントロール,0.7429,no
56,水テンポ,0.6000,yes
56,闘パワー,0.5714,yes
56,草毒コントロール,0.5714,yes
56,悪スナイプ,0.2429,yes
56,炎高火力,0.7000,yes
56,鋼タフネス,0.4571,yes
57,雷スピード,0.7857,yes
57,ミュウツー超コントロール,0.7571,yes
57,水テンポ,0.6286,yes
57,闘パワー,0.5429,yes
57,草毒コントロール,0.6143,yes
57,悪スナイプ,0.3286,yes
57,炎高火力,0.7286,yes
57,鋼タフネス,0.5714,yes
58,雷スピード,0.7714,yes
58,ミュウツー超コントロール,0.7571,no
58,水テンポ,0.5143,yes
58,闘パワー,0.6429,yes
58,草毒コントロール,0.5143,yes
58,悪スナイプ,0.3571,yes
58,炎高火力,0.6857,yes
58,鋼タフネス,0.5714,yes
59,雷スピード,0.7143,yes
59,ミュウツー超コントロール,0.7714,yes
59,水テンポ,0.3810,no
59,闘パワー,0.7429,yes
59,草毒コントロール,0.6429,yes
59,悪スナイプ,0.3286,yes
59,炎高火力,0.6286,yes
59,鋼タフネス,0.6286,yes
60,雷スピード,0.7143,no
60,ミュウツー超コントロール,0.8571,yes
60,水テンポ,0.4571,no
60,闘パワー,0.5857,no
60,草毒コントロール,0.4571,yes
60,悪スナイプ,0.4714,yes
60,炎高火力,0.7143,yes
60,鋼タフネス,0.5143,yes
61,雷スピード,0.7429,no
61,ミュウツー超コントロール,0.7714,yes
61,水テンポ,0.4714,yes
61,闘パワー,0.6714,yes
61,草毒コントロール,0.4762,no
61,悪スナイプ,0.2571,yes
61,炎高火力,0.7000,yes
61,鋼タフネス,0.4857,yes
62,雷スピード,0.7429,yes
62,ミュウツー超コントロール,0.7905,no
62,水テンポ,0.5000,yes
62,闘パワー,0.6571,yes
62,草毒コントロール,0.4619,no
62,悪スナイプ,0.4143,yes
62,炎高火力,0.5143,yes
62,鋼タフネス,0.4143,yes
63,雷スピード,0.7571,yes
63,ミュウツー超コントロール,0.8000,yes
63,水テンポ,0.4190,no
63,闘パワー,0.6571,yes
63,草毒コントロール,0.5286,yes
63,悪スナイプ,0.3857,yes
63,炎高火力,0.6714,yes
63,鋼タフネス,0.4429,yes
64,雷スピード,0.8143,yes
64,ミュウツー超コントロール,0.8286,yes
64,水テンポ,0.5571,yes
64,闘パワー,0.6714,yes
64,草毒コントロール,0.6000,yes
64,悪スナイプ,0.3429,yes
64,炎高火力,0.7857,yes
64,鋼タフネス,0.6000,yes
65,雷スピード,0.7286,no
65,ミュウツー超コントロール,0.7048,no
65,水テンポ,0.4857,yes
65,闘パワー,0.6571,yes
65,草毒コントロール,0.5571,yes
65,悪スナイプ,0.5000,yes
65,炎高火力,0.7429,yes
65,鋼タフネス,0.4429,yes
66,雷スピード,0.7571,yes
66,ミュウツー超コントロール,0.7762,no
66,水テンポ,0.5286,yes
66,闘パワー,0.5381,no
66,草毒コントロール,0.5857,yes
66,悪スナイプ,0.3857,yes
66,炎高火力,0.7000,yes
66,鋼タフネス,0.4714,yes
67,雷スピード,0.7333,no
67,ミュウツー超コントロール,0.7429,yes
67,水テンポ,0.4571,yes
67,闘パワー,0.5571,yes
67,草毒コントロール,0.6286,yes
67,悪スナイプ,0.4000,yes
67,炎高火力,0.8000,yes
67,鋼タフネス,0.4429,yes
68,雷スピード,0.6905,no
68,ミュウツー超コントロール,0.7143,yes
68,水テンポ,0.3238,no
68,闘パワー,0.5619,no
68,草毒コントロール,0.6714,yes
68,悪スナイプ,0.4286,yes
68,炎高火力,0.7714,yes
68,鋼タフネス,0.5571,yes
69,雷スピード,0.7095,no
69,ミュウツー超コントロール,0.7857,yes
69,水テンポ,0.4714,yes
69,闘パワー,0.5429,yes
69,草毒コントロール,0.6714,yes
69,悪スナイプ,0.3143,yes
69,炎高火力,0.8286,yes
69,鋼タフネス,0.5429,yes
70,雷スピード,0.7667,no
70,ミュウツー超コントロール,0.7714,yes
70,水テンポ,0.4095,no
70,闘パワー,0.5143,no
70,草毒コントロール,0.5714,yes
70,悪スナイプ,0.2714,yes
70,炎高火力,0.8571,yes
70,鋼タフネス,0.4429,yes
71,雷スピード,0.7143,yes
71,ミュウツー超コントロール,0.8143,yes
71,水テンポ,0.4571,yes
71,闘パワー,0.6286,yes
71,草毒コントロール,0.6571,yes
71,悪スナイプ,0.2714,yes
71,炎高火力,0.8714,yes
71,鋼タフネス,0.4286,yes
72,雷スピード,0.7048,no
72,ミュウツー超コントロール,0.7429,yes
72,水テンポ,0.3000,yes
72,闘パワー,0.6571,no
72,草毒コントロール,0.7000,yes
72,悪スナイプ,0.3286,yes
72,炎高火力,0.8571,yes
72,鋼タフネス,0.4286,yes
73,雷スピード,0.6714,yes
73,ミュウツー超コントロール,0.7333,no
73,水テンポ,0.2714,no
73,闘パワー,0.7571,yes
73,草毒コントロール,0.6571,yes
73,悪スナイプ,0.3286,yes
73,炎高火力,0.7714,yes
73,鋼タフネス,0.4286,yes
74,雷スピード,0.6524,no
74,ミュウツー超コントロール,0.7429,yes
74,水テンポ,0.3000,yes
74,闘パワー,0.5857,yes
74,草毒コントロール,0.6429,yes
74,悪スナイプ,0.3429,yes
74,炎高火力,0.7857,yes
74,鋼タフネス,0.4714,yes
75,雷スピード,0.6476,no
75,ミュウツー超コントロール,0.7238,no
75,水テンポ,0.3143,yes
75,闘パワー,0.6571,yes
75,草毒コントロール,0.6571,yes
75,悪スナイプ,0.4143,yes
75,炎高火力,0.7429,yes
75,鋼タフネス,0.5571,yes
76,雷スピード,0.6952,no
76,ミュウツー超コントロール,0.7286,yes
76,水テンポ,0.3571,yes
76,闘パワー,0.6571,yes
76,草毒コントロール,0.7286,yes
76,悪スナイプ,0.4714,yes
76,炎高火力,0.8857,yes
76,鋼タフネス,0.7000,yes
77,雷スピード,0.6857,yes
77,ミュウツー超コントロール,0.6619,no
77,水テンポ,0.2905,no
77,闘パワー,0.6571,yes
77,草毒コントロール,0.5762,no
77,悪スナイプ,0.4000,yes
77,炎高火力,0.7714,yes
77,鋼タフネス,0.6000,yes
78,雷スピード,0.6429,no
78,ミュウツー超コントロール,0.6619,no
78,水テンポ,0.3048,no
78,闘パワー,0.6000,yes
78,草毒コントロール,0.6429,yes
78,悪スナイプ,0.3857,yes
78,炎高火力,0.7143,yes
78,鋼タフネス,0.3857,yes
79,雷スピード,0.6571,yes
79,ミュウツー超コントロール,0.7286,yes
79,水テンポ,0.3143,yes
79,闘パワー,0.6381,no
79,草毒コントロール,0.6143,yes
79,悪スナイプ,0.4286,yes
79,炎高火力,0.8286,yes
79,鋼タフネス,0.5286,yes
80,雷スピード,0.6286,yes
80,ミュウツー超コントロール,0.7524,no
80,水テンポ,0.2667,no
80,闘パワー,0.6429,yes
80,草毒コントロール,0.7429,yes
80,悪スナイプ,0.4571,yes
80,炎高火力,0.7143,yes
80,鋼タフネス,0.4714,yes
81,雷スピード,0.6476,no
81,ミュウツー超コントロール,0.6857,no
81,水テンポ,0.4143,yes
81,闘パワー,0.5048,no
81,草毒コントロール,0.6429,yes
81,悪スナイプ,0.3429,yes
81,炎高火力,0.5857,yes
81,鋼タフネス,0.5286,yes
82,雷スピード,0.6714,no
82,ミュウツー超コントロール,0.7714,yes
82,水テンポ,0.3429,yes
82,闘パワー,0.7143,yes
82,草毒コントロール,0.5857,yes
82,悪スナイプ,0.3429,yes
82,炎高火力,0.5714,yes
82,鋼タフネス,0.5714,yes
83,雷スピード,0.6619,no
83,ミュウツー超コントロール,0.7714,yes
83,水テンポ,0.3429,yes
83,闘パワー,0.7000,yes
83,草毒コントロール,0.6714,yes
83,悪スナイプ,0.3857,yes
83,炎高火力,0.6429,yes
83,鋼タフネス,0.6714,yes
84,雷スピード,0.7095,no
84,ミュウツー超コントロール,0.7571,yes
84,水テンポ,0.3429,yes
84,闘パワー,0.6429,yes
84,草毒コントロール,0.6000,yes
84,悪スナイプ,0.2571,yes
84,炎高火力,0.6714,yes
84,鋼タフネス,0.6714,yes
85,雷スピード,0.6810,no
85,ミュウツー超コントロール,0.7476,no
85,水テンポ,0.3857,yes
85,闘パワー,0.6667,no
85,草毒コントロール,0.5714,yes
85,悪スナイプ,0.3714,yes
85,炎高火力,0.7000,yes
85,鋼タフネス,0.4571,yes
86,雷スピード,0.6714,yes
86,ミュウツー超コントロール,0.7571,yes
86,水テンポ,0.3286,yes
86,闘パワー,0.7286,yes
86,草毒コントロール,0.6000,yes
86,悪スナイプ,0.3381,no
86,炎高火力,0.7143,yes
86,鋼タフネス,0.5000,yes
87,雷スピード,0.6048,no
87,ミュウツー超コントロール,0.8381,no
87,水テンポ,0.3619,no
87,闘パワー,0.7571,yes
87,草毒コントロール,0.6429,yes
87,悪スナイプ,0.2810,no
87,炎高火力,0.6286,yes
87,鋼タフネス,0.6286,yes
88,雷スピード,0.7000,yes
88,ミュウツー超コントロール,0.7619,no
88,水テンポ,0.3143,yes
88,闘パワー,0.7571,yes
88,草毒コントロール,0.6000,yes
88,悪スナイプ,0.4857,yes
88,炎高火力,0.6714,yes
88,鋼タフネス,0.5714,yes
89,雷スピード,0.6429,no
89,ミュウツー超コントロール,0.6952,no
89,水テンポ,0.2857,yes
89,闘パワー,0.7286,yes
89,草毒コントロール,0.6571,yes
89,悪スナイプ,0.3857,yes
89,炎高火力,0.6429,yes
89,鋼タフネス,0.7000,yes
90,雷スピード,0.6333,no
90,ミュウツー超コントロール,0.7429,yes
90,水テンポ,0.3571,yes
90,闘パワー,0.7143,yes
90,草毒コントロール,0.7571,yes
90,悪スナイプ,0.4857,yes
90,炎高火力,0.5571,yes
90,鋼タフネス,0.7286,yes
91,雷スピード,0.6571,yes
91,ミュウツー超コントロール,0.7429,yes
91,水テンポ,0.3857,yes
91,闘パワー,0.7143,yes
91,草毒コントロール,0.6571,yes
91,悪スナイプ,0.5000,yes
91,炎高火力,0.5571,yes
91,鋼タフネス,0.6857,yes
92,雷スピード,0.6571,yes
92,ミュウツー超コントロール,0.8286,yes
92,水テンポ,0.3714,no
92,闘パワー,0.7429,yes
92,草毒コントロール,0.6857,yes
92,悪スナイプ,0.4286,yes
92,炎高火力,0.5429,yes
92,鋼タフネス,0.7000,yes
93,雷スピード,0.5857,no
93,ミュウツー超コントロール,0.7000,no
93,水テンポ,0.4143,yes
93,闘パワー,0.6810,no
93,草毒コントロール,0.6714,yes
93,悪スナイプ,0.3143,yes
93,炎高火力,0.5429,yes
93,鋼タフネス,0.5571,yes
94,雷スピード,0.6429,no
94,ミュウツー超コントロール,0.7857,yes
94,水テンポ,0.3857,yes
94,闘パワー,0.6333,no
94,草毒コントロール,0.7714,yes
94,悪スナイプ,0.2714,yes
94,炎高火力,0.5000,yes
94,鋼タフネス,0.5286,yes
95,雷スピード,0.6571,yes
95,ミュウツー超コントロール,0.7429,yes
95,水テンポ,0.3857,yes
95,闘パワー,0.7286,yes
95,草毒コントロール,0.7714,yes
95,悪スナイプ,0.3571,yes
95,炎高火力,0.6143,yes
95,鋼タフネス,0.3857,yes
96,雷スピード,0.6190,no
96,ミュウツー超コントロール,0.7857,yes
96,水テンポ,0.4429,yes
96,闘パワー,0.7429,yes
96,草毒コントロール,0.8143,yes
96,悪スナイプ,0.3857,yes
96,炎高火力,0.5714,yes
96,鋼タフネス,0.5000,yes
97,雷スピード,0.6714,yes
97,ミュウツー超コントロール,0.7286,yes
97,水テンポ,0.4000,yes
97,闘パワー,0.6429,yes
97,草毒コントロール,0.7571,yes
97,悪スナイプ,0.3000,yes
97,炎高火力,0.6000,yes
97,鋼タフネス,0.4571,yes
98,雷スピード,0.6905,no
98,ミュウツー超コントロール,0.7619,no
98,水テンポ,0.3286,yes
98,闘パワー,0.5857,yes
98,草毒コントロール,0.7714,yes
98,悪スナイプ,0.4000,yes
98,炎高火力,0.5143,yes
98,鋼タフネス,0.4571,yes
99,雷スピード,0.8000,yes
99,ミュウツー超コントロール,0.8000,yes
99,水テンポ,0.3714,no
99,闘パワー,0.6857,yes
99,草毒コントロール,0.7429,yes
99,悪スナイプ,0.3143,yes
99,炎高火力,0.5857,yes
99,鋼タフネス,0.4286,yes
100,雷スピード,0.7429,yes
100,ミュウツー超コントロール,0.7762,no
100,水テンポ,0.4429,yes
100,闘パワー,0.5714,no
100,草毒コントロール,0.8143,yes
100,悪スナイプ,0.3286,yes
100,炎高火力,0.6571,yes
100,鋼タフネス,0.3857,yes
101,雷スピード,0.7381,no
101,ミュウツー超コントロール,0.7571,yes
101,水テンポ,0.3619,no
101,闘パワー,0.5857,no
101,草毒コントロール,0.8286,yes
101,悪スナイプ,0.3000,yes
101,炎高火力,0.5429,yes
101,鋼タフネス,0.4143,yes
